type,angle,light,uuid
pnp,0,lamp,373d6ba0-fb71-43b7-a315-62cb3bd65dc9
pnp,10,lamp,d172ab8f-97b2-44dc-a579-d5d1a4c00d41
pnp,20,lamp,3e810d74-6117-4ee5-bd81-217dd69ca8dc
pnp,30,lamp,bc535f04-4d40-4e0f-be8f-3eacb15e0195
pnp,40,lamp,aa81317b-ab8d-46a1-ba96-56445f27cf08
pnp,50,lamp,45587556-d97f-46fe-9270-4ea689c310c0
pnp,60,lamp,4f007ab9-2fd0-4f92-89db-b1856ed54f7d
pnp,70,lamp,9e26daa5-2c91-42bf-af04-6a00e57e6512
pnp,80,lamp,05f69c26-1178-46e4-ac98-f3beaf47d903
clahe,0,lamp,a4de3513-598f-4b2a-a660-df23fd7f8d6d
clahe,10,lamp,82b36639-00d5-4116-8cfe-7945a4de8ad9
clahe,20,lamp,794d8e0d-9e21-4bea-999a-dfbbdf867f23
clahe,30,lamp,c0ccd605-1add-4dc5-a76b-e3be8d2d5da6
clahe,40,lamp,bc2645e8-babd-4d47-b4ba-798ef9558995
clahe,50,lamp,6167f2d2-83db-4c73-bae7-f673c5fb1f25
clahe,60,lamp,8b0183a0-51d5-40b8-a034-6436dab6c5b7
clahe,70,lamp,4e91e0e8-d63b-4d45-9f97-3d9f50e06fa4
clahe,80,lamp,01ac11a5-ce17-46ee-b661-456807d000e5
aruco,0,lamp,c3a609a9-96e7-4c6d-8f91-fd4c1d41df60
aruco,10,lamp,5c23f844-db93-4f6a-ac0b-0379d159d25b
aruco,20,lamp,ce746a7d-047b-42d8-8490-9f6e0a89047e
aruco,30,lamp,fc83bb79-b6cb-4076-9700-0285926a1fa7
aruco,40,lamp,842ae79a-bc58-4625-a36b-a6c1fbccb819
aruco,50,lamp,d791f95d-b81b-472c-a9fd-30ab1d41db1c
aruco,60,lamp,5b075f04-01a4-46b6-8f5c-8084476dfbb6
aruco,70,lamp,dbdcb437-8fb1-40b8-9c25-1d67b7e0a053
aruco,80,lamp,e1a05580-d833-4762-9464-476d3ca0765f
pnp,0,led,5fcb273d-809c-4f24-a085-bcf1b610f25a
pnp,10,led,48148ef0-4ab7-444e-b962-49d00cbca258
pnp,20,led,9cce4c58-92c3-4196-b531-ed091b640e02
pnp,30,led,4301243e-5512-4c03-9b14-c9313cc662a2
pnp,40,led,7f94bc88-6649-4033-8e2b-e016e8c5c1ea
pnp,50,led,5fb95277-8c36-4971-96d9-29db7c0e9a56
pnp,60,led,ed484510-aac8-4bd2-881b-2b87be0831b2
pnp,70,led,a28653fc-ffa4-42f9-8cfd-bcc45d2af721
pnp,80,led,53b2ac52-a5e8-47fd-9cfe-29b05a972245
clahe,0,led,2cabe705-2726-4fa9-bacc-24677d00fae6
clahe,10,led,1ffe59d2-96cd-4f08-a71c-645bce11b489
clahe,20,led,6adfdd7a-3597-4005-93a8-6ec9513fcbe8
clahe,30,led,6b1c38e8-b991-468d-8bc8-cf3d2ee6af0c
clahe,40,led,bd4c360b-5349-465b-8b98-81a9e6b91a13
clahe,50,led,49f3707c-7e9b-4485-8ac7-efdf6151911f
clahe,60,led,3079d95e-c2b7-48ea-8f5f-30ab0254cf06
clahe,70,led,7a56b726-4571-40f0-95b8-0682e36a4e49
clahe,80,led,7977aa6a-a78c-4533-aeef-30252635ed0c
aruco,0,led,f7787b66-6871-4b14-a910-a89b13943a04
aruco,10,led,aec83ecd-090d-4b50-8584-6aac53a3aa20
aruco,20,led,66a0425f-b444-4d12-b0c1-73fae47dd672
aruco,30,led,9ad10a45-2022-4fdd-85e5-05d9414c4a50
aruco,40,led,109fa50c-0bcc-4ad9-98f0-91efadc5e67b
aruco,50,led,b7f95f22-0fe5-463b-9c71-dd1a1c7e7ac4
aruco,60,led,e4a801ee-9aec-4433-aa7a-41d23657b30f
aruco,70,led,a6ac9c4d-fb29-421d-99e8-ba825c7a5533
aruco,80,led,aac9d469-d54a-4081-a137-2e8caa00627a
pnp,0,both,429983d7-fa22-4fbb-a39d-03349d2d0253
pnp,10,both,90e4df22-127f-45fe-b51b-8715b13c0cc3
pnp,20,both,340eebae-04a6-4eb6-b6d8-810cd6935262
pnp,30,both,842d0f79-bea8-4a44-adee-7ef3233d0a2d
pnp,40,both,9b2f24f6-0dd3-4fa1-9972-413920e24cf4
pnp,50,both,7c698def-cc9f-4534-9ff2-52311cb6f7b3
pnp,60,both,4101ab5e-8c17-4924-86c9-b912c8645983
pnp,70,both,4ed4c519-7871-4e3d-a075-13a6909027f3
pnp,80,both,6043345b-a832-43f4-a182-5516943c64eb
clahe,0,both,5792c4e4-9159-4f6e-b6f8-9234f7ee14b5
clahe,10,both,11604e15-cdae-4fa9-a41b-abdf3a462913
clahe,20,both,71b2f7d7-60e3-4844-b9fb-fe24bb0b44c0
clahe,30,both,e110fb9c-8201-42c1-ac0c-65fa17680df9
clahe,40,both,7bf4f12c-0420-48c8-b8c6-a769ac1b8bb0
clahe,50,both,abc77175-6d17-4b5e-9609-d290dff8d875
clahe,60,both,09675f3f-35bd-4e24-8fed-cb9e3496f700
clahe,70,both,f9267629-34fc-4a00-b614-af3d9e610533
clahe,80,both,b5a0c5c0-e587-4247-9e45-e5535143bb6c
aruco,0,both,1fae7c3b-d4a5-4ab1-a6b2-6c2f5cd32dbd
aruco,10,both,08dbd3cb-a147-4447-acf1-40c24efc2e4c
aruco,20,both,080b682d-3c76-4bb5-8116-d4d1e50ababd
aruco,30,both,277df03d-fc6d-429a-a4f5-02bd4a42adb2
aruco,40,both,c4b9ed56-7b21-46da-9e57-38992806435a
aruco,50,both,0528c478-ff50-441e-b6d3-180bbd9e94ce
aruco,60,both,f09e23bb-e37b-428c-aa3b-f21cfdc6afee
aruco,70,both,4c2b02f5-16ac-4d79-9116-2886b2f61371
aruco,80,both,3875ea4b-57b5-4d0a-ac99-286cfeecf641

